paper_id,doi,title
Cho_et_al__-_2018_-_Improved_particle_hardness_of_Ti-doped_LiNi13Co1_reactions,10.1016/j.jpcs.2018.08.008,Improved particle hardness of Ti-doped LiNi1/3Co1/3Mn1/3-xTixO2 as high-voltage cathode material for lithium-ion batteries
Chu_et_al__-_2020_-_A_multi-functional_binder_for_high_loading_sulfur__reactions,10.1016/j.jechem.2019.10.020,A multi-functional binder for high loading sulfur cathode
Cui_et_al__-_2021_-_Zinc-Doped_High-Nickel__Low-Cobalt_Layered_Oxide_C_reactions,10.1021/acsami.1c01824,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Density Lithium-Ion Batteries"
Dacek_et_al__-_2016_-_Structure_and_Dynamics_of_Fluorophosphate_Na-Ion_B_reactions,10.1021/acs.chemmater.6b01989,Structure and Dynamics of Fluorophosphate Na-Ion Battery Cathodes
Duquesnoy_et_al__-_2020_-_Data-driven_assessment_of_electrode_calendering_pr_reactions,10.1016/j.jpowsour.2020.229103,"Data-driven assessment of electrode calendering process by combining experimental results, in silico mesostructures generation and machine learning"
Eftekhari_and_Kim_-_2017_-_Cathode_materials_for_lithium_sulfur_batteries_a__reactions,10.1039/c7ta00799j,Cathode materials for lithium –sulfur batteries: a practical perspective
Elia_et_al__-_2016_-_An_Overview_and_Future_Perspectives_of_Aluminum_Ba_reactions,10.1002/adma.201601357,An Overview and Future Perspectives of Aluminum Batteries
Forouzan_et_al__-_2016_-_Experiment_and_simulation_of_the_fabrication_proce_reactions,10.1016/j.jpowsour.2016.02.014,Experiment and simulation of the fabrication process of lithium-ion battery cathodes for determining microstructure and mechanical properties
Gao_et_al__-_2018_-_Na_3_MnZr_PO_4___3sub_reactions,10.1021/jacs.8b11388,Na3MnZr(PO 4)3: A High-Voltage Cathode for Sodium Batteries
Gong_et_al__-_2018_-_Three-dimensional_atomic-scale_observation_of_stru_reactions,10.1038/s41467-018-05833-x,Three-dimensional atomic-scale observation of structural evolution of cathode material in a working all-solid-state battery
Gover_et_al__-_2006_-_The_electrochemical_insertion_properties_of_sodium_reactions,10.1016/j.ssi.2006.07.028,"The electrochemical insertion properties of sodium vanadium fluorophosphate, Na3V2(PO4)2F3"
Guo_et_al__-_2013_-_Lithium_Sulfur_Battery_Cathode_Enabled_by_Lithium__reactions,10.1021/ja309435f,Lithium −Sulfur Battery Cathode Enabled by Lithium −Nitrile Interaction
Guo_et_al__-_2017_-_Aluminum_and_fluorine_co-doping_for_promotion_of_s_reactions,10.1016/j.electacta.2017.03.133,Aluminum and fluorine co-doping for promotion of stability and safety of lithium-rich layered cathode material
Gupta_et_al__-_2022_-_Understanding_the_Design_of_Cathode_Materials_for__reactions,10.1021/acsomega.1c05794,Understanding the Design of Cathode Materials for Na-Ion Batteries
Gu_et_al__-_2012_-_Conflicting_Roles_of_Nickel_in_Controlling_Cathode_reactions,10.1021/nl302249v,Conflicting Roles of Nickel in Controlling Cathode Performance in Lithium Ion Batteries
Han_et_al__-_2015_-_A_comprehensive_review_of_sodium_layered_oxides_p_reactions,10.1039/c4ee03192j,A comprehensive review of sodium layered oxides: powerful cathodes for Na-ion batteries
Han_et_al__-_2017_-_From_Coating_to_Dopant_How_the_Transition_Metal_C_reactions,10.1021/acsami.7b13597,From Coating to Dopant: How the Transition Metal Composition Affects Alumina Coatings on Ni-Rich Cathodes
Hao_et_al__-_2019_-_Taming_Active_Material-Solid_Electrolyte_Interface_reactions,10.1016/j.joule.2019.03.017,Taming Active Material-Solid Electrolyte Interfaces with Organic Cathode for All-Solid-State Batteries
Haruyama_et_al__-_2014_-_Space_Charge_Layer_Effect_at_Interface_between_Oxi_reactions,,Supporting Information for: Space-Charge Layer Effect at Interface between Oxide Cathode and Sulfide Electrolyte in All Solid-State Lithium-Ion Battery
Haruyama_et_al__-_2017_-_Cation_Mixing_Properties_toward_Co_Diffusion_at_th_reactions,10.1021/acsami.6b08435,Cation Mixing Properties toward Co Diffusion at the LiCoO2 Cathode/ Sulfide Electrolyte Interface in a Solid-State Battery
Hausbrand_et_al__-_2015_-_Fundamental_degradation_mechanisms_of_layered_oxid_reactions,10.1016/j.mseb.2014.11.014,"Fundamental degradation mechanisms of layered oxide Li-ion battery cathode materials: Methodology, insights and novel approaches"
Hautier_et_al__-_2011_-_Phosphates_as_Lithium-Ion_Battery_Cathodes_An_Eva_reactions,10.1021/cm200949v,Phosphates as Lithium-Ion Battery Cathodes: An Evaluation Based on High-Throughput ab Initio Calculations
Hoang_and_Johannes_-_2014_-_Defect_chemistry_in_layered_transition-metal_oxide_reactions,10.1039/c4ta00673a,Defect chemistry in layered transition-metal oxides from screened hybrid density functional calculations
Hong_et_al__-_2022_-_All-Solid-State_Lithium_Batteries_Li___reactions,10.1021/acsenergylett.1c02756,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Processed Composite Cathodes
Hussain_et_al__-_2020_-_Robust_TiN_nanoparticles_polysulfide_anchor_for_Li_reactions,10.1016/j.cej.2019.123595,Robust TiN nanoparticles polysulfide anchor for Li–S storage and diffusion pathways using first principle calculations
Hu_et_al__-_2015_-_Recycling_Application_of_Li-MnO_2_Batte_reactions,10.1002/anie.201411626,Recycling Application of Li–MnO2 Batteries as Rechargeable Lithium–Air Batteries
Hu_et_al__-_2020_-_Structure_and_performance_of_the_LiFePO_4su_reactions,10.1039/d0nr03776a,Structure and performance of the LiFePO4 cathode material: from the bulk to the surface
Islam_and_Fisher_-_2014_-_Lithium_and_sodium_battery_cathode_materials_comp_reactions,10.1039/c3cs60199d,"Lithium and sodium battery cathode materials: computational insights into voltage, diffusion and nanostructural properties"
Jayaprakash_et_al__-_2011_-_The_rechargeable_aluminum-ion_battery_reactions,10.1039/c1cc15779e,The rechargeable aluminum-ion battery
Jiang_et_al__-_2021_-_All-dry_synthesis_of_self-supporting_thin_Li10GeP2_reactions,10.1016/j.cej.2021.129965,All-dry synthesis of self-supporting thin Li10GeP2S12 membrane and interface engineering for solid state lithium metal batteries
Jiao_et_al__-_2022_-_Recycling_spent_LiNi_1-x-y_Mn_xs_reactions,10.1073/pnas.2202202119,Recycling spent LiNi1-x-yMnxCoyO2 cathodes to bifunctional NiMnCo catalysts for zinc-air batteries
Jin_et_al__-_2020_-_Polyanion-type_cathode_materials_for_sodium-ion_ba_reactions,10.1039/c9cs00846b,Polyanion-type cathode materials for sodium-ion batteries
Kaland_et_al__-_2020_-_Are_MXenes_suitable_as_cathode_materials_for_recha_reactions,10.1039/d0se00087f,Are MXenes suitable as cathode materials for rechargeable Mg batteries?
Kamaya_et_al__-_2011_-_A_lithium_superionic_conductor_reactions,10.1038/NMAT3066,A lithium superionic conductor
Kanehori_et_al__-_1983_-_Thin_film_solid_electrolyte_and_its_application_to_reactions,,THIN FILM SOLID ELECTROLYTE AND ITS APPLICATION TO SECONDARY LITHIUM CELL
Kim_et_al__-_2014_-_All-graphene-battery_bridging_the_gap_between_sup_reactions,10.1038/srep05278,All-graphene-battery: bridging the gap between supercapacitors and lithium ion batteries
Kim_et_al__-_2014_-_Novel_transition-metal-free_cathode_for_high_energ_reactions,10.1016/j.nanoen.2013.12.009,Novel transition-metal-free cathode for high energy and power sodium rechargeable batteries
Kim_et_al__-_2017_-_Reduced_Graphene_OxideLiI_Composite_Lithium_Ion_B_reactions,10.1021/acs.nanolett.7b03290,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes
Koerver_et_al__-_2018_-_Chemo-mechanical_expansion_of_lithium_electrode_ma_reactions,10.1039/c8ee00907d,Chemo-mechanical expansion of lithium electrode materials – on the route to mechanically optimized all-solid-state batteries
Lang_et_al__-_2020_-_A_molten_battery_consisting_of_Li_metal_anode__AlC_reactions,10.1016/j.ensm.2019.07.027,"A molten battery consisting of Li metal anode, AlCl3-LiCl cathode and solid electrolyte"
Lee_et_al__-_2001_-_Synthesis_and_characterization_of_lithium_aluminum_reactions,,Synthesis and characterization of lithium aluminum-doped spinel for lithium secondary battery
Lee_et_al__-_2020_-_High-energy_long-cycling_all-solid-state_lithium_m_reactions,10.1038/s41560-020-0575-z,High-energy long-cycling all-solid-state lithium metal batteries enabled by silver–carbon composite anodes
Lee_et_al__-_2021_-_Understanding_the_Chemical_Composition_with_Doping_reactions,10.1021/acs.inorgchem.1c02114,"Understanding the Chemical Composition with Doping Aliovalent Ions, Followed by the Electrochemical Behavior for Surface-Modified Ni-Rich NMC Cathode Materials"
Lim_et_al__-_2012_-_Electrochemical_and_Thermal_Properties_of_NASICON__reactions,10.1149/2.015209jes,Electrochemical and Thermal Properties of NASICON Structured Na3V2(PO4)3 as a Sodium Rechargeable Battery Cathode: A Combined Experimental and Theoretical Study
Liu_et_al__-_2018_-_Approaching_the_capacity_limit_of_lithium_cobalt_o_reactions,10.1038/s41560-018-0180-6,Approaching the capacity limit of lithium cobalt oxide in lithium ion batteries via lanthanum and aluminium doping
Liu_et_al__-_2021_-_In_situ_formation_of_a_Li_3_N-ri_reactions,10.1039/d1ta03343c,In situ formation of a Li3N-rich interface between lithium and argyrodite solid electrolyte enabled by nitrogen doping
Liu_et_al__-_2021_-_Understanding_Co_roles_towards_developing_Co-free__reactions,10.1038/s41560-021-00776-y,Understanding Co roles towards developing Co-free Ni-rich cathodes for rechargeable batteries
Liu_et_al__-_2022_-_Development_of_quasi-solid-state_anode-free_high-e_reactions,10.1038/s41467-022-32031-7,Development of quasi-solid-state anode-free high-energy lithium sulfide-based batteries
Liu_et_al__-_2022_-_Mechanisms_of_Ionic_Diffusion_and_Stability_of_the_reactions,10.1021/acsmaterialslett.2c00194,Mechanisms of Ionic Diffusion and Stability of the Na4MnCr(PO4)3 Cathode
Li_et_al__-_2015_-_Solid_Electrolyte_the_Key_for_High-Voltage_Lithiu_reactions,10.1002/aenm.201401408,Solid Electrolyte: the Key for High-Voltage Lithium Batteries
Li_et_al__-_2018_-_Chemical_Immobilization_Effect_on_Lithium_Polysulf_reactions,10.1002/smll.201701986,Chemical Immobilization Effect on Lithium Polysulfides for Lithium–Sulfur Batteries
Li_et_al__-_2018_-_Co-modification_by_LiAlO2-coating_and_Al-doping_fo_reactions,10.1016/j.jallcom.2018.07.223,Co-modification by LiAlO2-coating and Al-doping for LiNi0.5Co0.2Mn0.3O2 as a high-performance cathode material for lithium-ion batteries with a high cutoff voltage
Li_et_al__-_2021_-_Intrinsic_voltage_plateau_of_a_Nb2CTx_MXene_cathod_reactions,10.1016/j.joule.2021.09.006,Intrinsic voltage plateau of a Nb2CTx MXene cathode in an aqueous electrolyte induced by high-voltage scanning
Li_et_al__-_2023_-_Addressing_cation_mixing_in_layered_structured_cat_reactions,10.1016/j.nanoms.2022.09.001,Addressing cation mixing in layered structured cathodes for lithium-ion batteries: A critical review
Li_et_al__-_2023_-_One_step_in-situ_synthesis_of_Na3V2_PO4_3Na3V3_PO_reactions,10.1016/j.jpowsour.2023.232802,One step in-situ synthesis of Na3V2(PO4)3/Na3V3(PO4)4 biphase coexisted cathode with high energy density by inducing of polyvinylpyrrolidone for sodium ion batteries
Li_et_al__-_2024_-_Constructing_static_two-electron_lithium-bromide_b_reactions,10.1126/sciadv.adl0587,Constructing static two-electron lithium-bromide battery
Lou_et_al__-_2020_-_Insights_into_interfacial_effect_and_local_lithium_reactions,10.1038/s41467-020-19528-9,Insights into interfacial effect and local lithium-ion transport in polycrystalline cathodes of solid-state batteries
Lung-Hao_Hu_et_al__-_2013_-_Graphene-modified_LiFePO4_cathode_for_lithium_ion__reactions,10.1038/ncomms2705,Graphene-modified LiFePO4 cathode for lithium ion battery beyond theoretical capacity
Luo_et_al__-_2022_-_Nickel-rich_and_cobalt-free_layered_oxide_cathode__reactions,10.1016/j.ensm.2022.05.019,Nickel-rich and cobalt-free layered oxide cathode materials for lithium ion batteries
Luo_et_al__-_2023_-_A_Li-rich_layered_oxide_cathode_with_negligible_vo_reactions,10.1038/s41560-023-01289-6,A Li-rich layered oxide cathode with negligible voltage decay
Luo_et_al__-_A_chemically_stabilized_sulfur_cathode_for_lean_el_reactions,10.1073/pnas.2006301117,A chemically stabilized sulfur cathode for lean electrolyte lithium sulfur batteries
Lv_et_al__-_2022_-_Two-dimensional_V2C_Se__MXene__composite_cathode_m_reactions,10.1016/j.ensm.2022.01.019,Two-dimensional V2C@Se (MXene) composite cathode material for high-performance rechargeable aluminum batteries
Maeng_et_al__-_2020_-_Enhanced_mechanical_strength_and_electrochemical_p_reactions,10.1016/j.jpowsour.2019.227395,Enhanced mechanical strength and electrochemical performance of core–shell structured high–nickel cathode material
Manthiram_-_2020_-_A_reflection_on_lithium-ion_battery_cathode_chemis_reactions,10.1038/s41467-020-15355-0,A reflection on lithium-ion battery cathode chemistry
Manthiram_et_al__-_2013_-_Challenges_and_Prospects_of_Lithium_Sulfur_Batteri_reactions,10.1021/ar300179v,Challenges and Prospects of Lithium–Sulfur Batteries
Ma_et_al__-_2019_-_Prevention_of_dendrite_growth_and_volume_expansion_reactions,10.1038/s41557-018-0166-9,Prevention of dendrite growth and volume expansion to give high-performance aprotic bimetallic Li-Na alloy–O2 batteries
Moon_et_al__-_2021_-_The_correlation_between_particle_hardness_and_cycl_reactions,10.1016/j.jpowsour.2020.229359,The correlation between particle hardness and cycle performance of layered cathode materials for lithium-ion batteries
Mu_et_al__-_2019_-_Dopant_Distribution_in_Co-Free_High-Energy_Layered_reactions,10.1021/acs.chemmater.9b03603,Dopant Distribution in Co-Free High-Energy Layered Cathode Materials
Nation_et_al__-_2021_-_Redox-couple_investigations_in_Si-doped_Li-rich_ca_reactions,10.1039/d0cp05737a,Redox-couple investigations in Si-doped Li-rich cathode materials
Nguyen_et_al__-_2019_-_Density_Functional_Theory-Assisted_31_P_reactions,10.1021/acs.chemmater.9b03546,Density Functional Theory-Assisted 31P and 23Na Magic-Angle Spinning Nuclear Magnetic Resonance Study of the Na3V2(PO4)2F3−Na3V2(PO4)2FO2 Solid Solution: Unraveling Its Local and Electronic Structures
Nguyen_et_al__-_2021_-_Polypeptide_organic_radical_batteries_reactions,10.1038/s41586-021-03399-1,Polypeptide organic radical batteries
Ong_et_al__-_2010_-_Thermal_stabilities_of_delithiated_olivine_MPO4__M_reactions,10.1016/j.elecom.2010.01.010,"Thermal stabilities of delithiated olivine MPO4 (M = Fe, Mn) cathodes investigated using first principles calculations"
Park_et_al__-_2019_-_Degradation_Mechanism_of_Ni-Enriched_NCA_Cathode_f_reactions,10.1021/acsenergylett.9b00733,Degradation Mechanism of Ni-Enriched NCA Cathode for Lithium Batteries: Are Microcracks Really Critical?
Park_et_al__-_2021_-_Direct_Cathode_Recycling_of_End-Of-Life_Li-Ion_Bat_reactions,10.1021/acssuschemeng.1c02133,Direct Cathode Recycling of End-Of-Life Li-Ion Batteries Enabled by Redox Mediation
Park_et_al__-_2022_-_Crystal_Structure_of_Na_2_V_2sub_reactions,10.1021/acs.chemmater.1c04033,"Crystal Structure of Na2V2(PO4)3, an Intriguing Phase Spotted in the Na3V2(PO4)3−Na1V2(PO4)3 System"
Park_et_al__-_2022_-_Introducing_high-valence_elements_into_cobalt-free_reactions,10.1038/s41560-022-01106-6,Introducing high-valence elements into cobalt-free layered cathodes for practical lithium-ion batteries
Pasta_et_al__-_2020_-_2020_roadmap_on_solid-state_batteries_reactions,10.1088/2515-7655/ab95f4,2020 roadmap on solid-state batteries
Qian_et_al__-_2018_-_Electrochemical_surface_passivation_of_LiCoO2_part_reactions,10.1038/s41467-018-07296-6,Electrochemical surface passivation of LiCoO2 particles at ultrahigh voltage and its applications in lithium-based batteries
Raj_et_al__-_2022_-_Recycling_of_cathode_material_from_spent_lithium-i_reactions,10.1016/j.jhazmat.2022.128312,Recycling of cathode material from spent lithium-ion batteries: Challenges and future perspectives
Randau_-_2020_-_Benchmarking_the_performance_of_all-solid-state_li_reactions,10.1038/s41560-020-0565-1,Benchmarking the performance of all-solid-state lithium batteries
Rani_et_al__-_2013_-_Fluorinated_Natural_Graphite_Cathode_for_Rechargea_reactions,10.1149/2.072310jes,Fluorinated Natural Graphite Cathode for Rechargeable Ionic Liquid Based Aluminum–Ion Battery
Riaz_et_al__-_2014_-_Carbon-__Binder-__and_Precious_Metal-Free_Cathodes_reactions,10.1021/am504463b,"Carbon-, Binder-, and Precious Metal-Free Cathodes for Non-Aqueous Lithium−Oxygen Batteries: Nanoflake-Decorated Nanoneedle Oxide Arrays"
Shaibani_et_al__-_2020_-_Expansion-tolerant_architectures_for_stable_cyclin_reactions,10.1126/sciadv.aay2757,Expansion-tolerant architectures for stable cycling of ultrahigh-loading sulfur cathodes in lithium-sulfur batteries
Song_and_Kendrick_-_2021_-_Recent_progress_on_strategies_to_improve_the_high-_reactions,10.1088/2515-7639/abf545,Recent progress on strategies to improve the high-voltage stability of layered-oxide cathode materials for sodium-ion batteries
Song_et_al__-_2012_-_Role_of_Oxygen_Vacancies_on_the_Performance_of_Li__reactions,10.1021/cm301825h,"Role of Oxygen Vacancies on the Performance of Li[Ni 0.5−xMn 1.5+ x]O4 (x= 0, 0.05, and 0.08) Spinel Cathodes for Lithium-Ion Batteries"
Song_et_al__-_2019_-_B4C_nanoskeleton_enabled__flexible_lithium-sulfur__reactions,10.1016/j.nanoen.2019.01.018,"B4C nanoskeleton enabled, flexible lithium-sulfur batteries"
Stallard_et_al__-_2022_-_Mechanical_properties_of_cathode_materials_for_lit_reactions,10.1016/j.joule.2022.04.001,Mechanical properties of cathode materials for lithium-ion batteries
Sui_et_al__-_2020_-_Dual-ion_batteries_The_emerging_alternative_recha_reactions,10.1016/j.ensm.2019.11.003,Dual-ion batteries: The emerging alternative rechargeable batteries
Sun_et_al__-_2018_-_Accelerated_aging_and_degradation_mechanism_of_LiF_reactions,10.1039/c8ra04074e,Accelerated aging and degradation mechanism of LiFePO4/graphite batteries cycled at high discharge rates
Sun_et_al__-_2018_-_Towards_a_reliable_Li-metal-free_LiNO_3_reactions,10.1039/c8ee00937f,Towards a reliable Li-metal-free LiNO3-free Li-ion polysulphide full cell via parallel interface engineering
Sun_et_al__-_2020_-_A_high-performance_potassium_metal_battery_using_s_reactions,10.1073/pnas.2012716117,A high-performance potassium metal battery using safe ionic liquid electrolyte
Su_et_al__-_2018_-_Toward_High_Performance_Lithium_Sulfur_Batteries_B_reactions,10.1002/adfm.201800154,"Toward High Performance Lithium–Sulfur Batteries Based on Li2S Cathodes and Beyond: Status, Challenges, and Perspectives"
Swift_and_Qi_-_2019_-_First-Principles_Prediction_of_Potentials_and_Spac_reactions,10.1103/PhysRevLett.122.167701,First-Principles Prediction of Potentials and Space-Charge Layers in All-Solid-State Batteries
Takahashi_et_al__-_2013_-_All-solid-state_lithium_battery_with_LiBH4_solid_e_reactions,10.1016/j.jpowsour.2012.10.079,All-solid-state lithium battery with LiBH4 solid electrolyte
Tan_et_al__-_2020_-_Sustainable_design_of_fully_recyclable_all_solid-s_reactions,10.1557/mre.2020.25,Sustainable design of fully recyclable all solid-state batteries
Tan_et_al__-_2021_-_A_Novel_MoS_2_-MXene_Composite_Cathode__reactions,10.1021/acs.energyfuels.1c01461,A Novel MoS2-MXene Composite Cathode for Aluminum-Ion Batteries
Toyoda_and_Takeda_-_Study_on_lithium_intercalation_into_MO__reactions,,Study on lithium intercalation into MoS2
Trease_et_al__-_2016_-_Identifying_the_Distribution_of_Al_3__i_reactions,10.1021/acs.chemmater.6b02797,Identifying the Distribution of Al3+ in LiNi0.8Co0.15Al0.05O2
VahidMohammadi_et_al__-_2017_-_Two-Dimensional_Vanadium_Carbide__MXene__as_a_High_reactions,10.1021/acsnano.7b05350,Two-Dimensional Vanadium Carbide (MXene) as a High-Capacity Cathode Material for Rechargeable Aluminum Batteries
Vanaphuti_et_al__-_2021_-_Stabilized_Lithium__Manganese-Rich_Layered_Cathode_reactions,10.1021/acsami.1c04718,"Stabilized Lithium, Manganese-Rich Layered Cathode Materials Enabled by Integrating Co-Doping and Nanocoating"
Van_der_Ven_et_al__-_1998_-_First-principles_investigation_of_phase_stability__reactions,,First-principles investigation of phase stability in LixCoO2
Wang_et_al__-_2015_-_Binder-Free_V_2_O_5_Cathode__reactions,10.1021/am508001h,Binder-Free V2O5 Cathode for Greener Rechargeable Aluminum Battery
Wang_et_al__-_2017_-_High-Performance_Aluminum-Ion_Battery_with_CuS_C_M_reactions,10.1021/acsnano.6b06446,High-Performance Aluminum-Ion Battery with CuS@C Microsphere Composite Cathode
Wang_et_al__-_2018_-_High-Conductivity_Argyrodite_Li_6_PS_s_reactions,10.1021/acsami.8b15121,High-Conductivity Argyrodite Li6PS5Cl Solid Electrolytes Prepared via Optimized Sintering Processes for All-Solid-State Lithium−Sulfur Batteries
Wang_et_al__-_2020_-_Enabling__lithium-free__manufacturing_of_pure_lith_reactions,10.1038/s41467-020-19004-4,Enabling “lithium-free” manufacturing of pure lithium metal solid-state batteries through in situ plating
Wang_et_al__-_2021_-_Pillar-beam_structures_prevent_layered_cathode_mat_reactions,10.1038/s41467-020-20169-1,Pillar-beam structures prevent layered cathode materials from destructive phase transitions
Wu_et_al__-_2019_-_Elucidating_the_Effect_of_Iron_Doping_on_the_Elect_reactions,10.1002/aenm.201902445,Elucidating the Effect of Iron Doping on the Electrochemical Performance of Cobalt-Free Lithium-Rich Layered Cathode Materials
Wu_et_al__-_2019_-_Paving_the_Path_toward_Reliable_Cathode_Materials__reactions,10.1002/adma.201806510,Paving the Path toward Reliable Cathode Materials for Aluminum-Ion Batteries
Wu_et_al__-_2021_-_A_stable_cathode-solid_electrolyte_composite_for_h_reactions,https://doi.org/10.1038/s41467-021-21488-7,"A stable cathode-solid electrolyte composite for high-voltage, long-cycle-life solid-state sodium-ion batteries"
Xie_et_al__-_2019_-_Insights_into_Boron-Based_Polyanion-Tuned_High-Nic_reactions,10.1021/acs.chemmater.9b02916,Insights into Boron-Based Polyanion-Tuned High-Nickel Cathodes for High-Energy-Density Lithium-Ion Batteries
Xu_et_al__-_2018_-_Updated_Metal_Compounds__MOFs___S___OH___N___C__Us_reactions,10.1002/aenm.201702607,"Updated Metal Compounds (MOFs, –S, –OH, –N, –C) Used as Cathode Materials for Lithium–Sulfur Batteries"
Xu_et_al__-_2019_-_Li_metal-free_rechargeable_all-solid-state_Li2SSi_reactions,10.1007/s10008-019-04409-z,Li metal-free rechargeable all-solid-state Li2S/Si battery based on Li7P3S11 electrolyte
Yamada_et_al__-_2014_-_Interfacial_phenomena_between_lithium_ion_conducto_reactions,10.1016/j.ssi.2013.10.001,Interfacial phenomena between lithium ion conductors and cathodes
Yang_et_al__-_2012_-_High-Capacity_Micrometer-Sized_Li_2_S_P_reactions,10.1021/ja3052206,High-Capacity Micrometer-Sized Li2S Particles as Cathode Materials for Advanced Rechargeable Lithium-Ion Batteries
Yang_et_al__-_2019_-_Aqueous_Li-ion_battery_enabled_by_halogen_conversi_reactions,10.1038/s41586-019-1175-6,Aqueous Li-ion battery enabled by halogen conversion–intercalation chemistry in graphite
Yan_et_al__-_2020_-_A_review_on_dopingcoating_of_nickel-rich_cathode__reactions,10.1016/j.jallcom.2019.153048,A review on doping/coating of nickel-rich cathode materials for lithium-ion batteries
